id,teamId,nameAndSubstatValue,statValue,rank,type,statFormat,substatFormat
696646,8455,"{'name': 'Axel Disasi', 'substatValue': 1}",1.00,1,players,fraction,number
923312,9937,"{'name': 'Bryan Mbeumo', 'substatValue': 1}",1.00,2,players,fraction,number
961995,9825,"{'name': 'Bukayo Saka', 'substatValue': 1}",1.00,3,players,fraction,number
562725,8346,"{'name': 'Carlton Morris', 'substatValue': 1}",1.00,4,players,fraction,number
591734,8678,"{'name': 'Dominic Solanke', 'substatValue': 1}",1.00,5,players,fraction,number
797908,8586,"{'name': 'Emerson Royal', 'substatValue': 1}",1.00,6,players,fraction,number
523825,8654,"{'name': 'Jarrod Bowen', 'substatValue': 1}",1.00,7,players,fraction,number
637746,9826,"{'name': 'Odsonne Edouard', 'substatValue': 1}",1.00,8,players,fraction,number
675088,8456,"{'name': 'Rodri', 'substatValue': 1}",1.00,9,players,fraction,number
