id,teamId,nameAndSubstatValue,statValue,rank,type,statFormat,substatFormat
923312,9937,"{'name': 'Bryan Mbeumo', 'substatValue': 1}",1.4,1,players,fraction,number
1021382,10204,"{'name': 'Joao Pedro', 'substatValue': 1}",1.3,2,players,fraction,number
391064,8668,"{'name': 'Neal Maupay', 'substatValue': 0}",1.3,3,players,fraction,number
262550,9879,"{'name': 'Bobby Reid', 'substatValue': 1}",1.1,4,players,fraction,number
562725,8346,"{'name': 'Carlton Morris', 'substatValue': 1}",1.1,5,players,fraction,number
591734,8678,"{'name': 'Dominic Solanke', 'substatValue': 1}",1.0,6,players,fraction,number
637746,9826,"{'name': 'Odsonne Edouard', 'substatValue': 1}",1.0,7,players,fraction,number
184321,10261,"{'name': 'Callum Wilson', 'substatValue': 1}",0.9,8,players,fraction,number
1068482,10204,"{'name': 'Evan Ferguson', 'substatValue': 1}",0.9,9,players,fraction,number
690107,10261,"{'name': 'Alexander Isak', 'substatValue': 2}",0.8,10,players,fraction,number
860914,8650,"{'name': 'Luis Diaz', 'substatValue': 1}",0.8,11,players,fraction,number
729731,10252,"{'name': 'Matty Cash', 'substatValue': 0}",0.7,12,players,fraction,number
737066,8456,"{'name': 'Erling Haaland', 'substatValue': 2}",0.6,13,players,fraction,number
789066,8586,"{'name': 'Cristian Romero', 'substatValue': 1}",0.6,14,players,fraction,number
867414,10261,"{'name': 'Sandro Tonali', 'substatValue': 1}",0.6,15,players,fraction,number
643717,10203,"{'name': 'Taiwo Awoniyi', 'substatValue': 1}",0.6,16,players,fraction,number
352887,8668,"{'name': 'Abdoulaye Doucouré', 'substatValue': 0}",0.6,17,players,fraction,number
696646,8455,"{'name': 'Axel Disasi', 'substatValue': 1}",0.5,18,players,fraction,number
760359,10261,"{'name': 'Harvey Barnes', 'substatValue': 1}",0.5,19,players,fraction,number
675088,8456,"{'name': 'Rodri', 'substatValue': 1}",0.5,20,players,fraction,number
818975,9826,"{'name': 'Eberechi Eze', 'substatValue': 0}",0.5,21,players,fraction,number
1197347,8455,"{'name': 'Nicolas Jackson', 'substatValue': 0}",0.5,22,players,fraction,number
167008,10204,"{'name': 'Pascal Gross', 'substatValue': 0}",0.5,23,players,fraction,number
416850,10204,"{'name': 'Solly March', 'substatValue': 1}",0.4,24,players,fraction,number
524437,8654,"{'name': 'Tomas Soucek', 'substatValue': 0}",0.4,25,players,fraction,number
923498,10252,"{'name': 'Moussa Diaby', 'substatValue': 1}",0.3,26,players,fraction,number
1227012,10204,"{'name': 'Simon Adingra', 'substatValue': 1}",0.3,27,players,fraction,number
666857,9937,"{'name': 'Yoane Wissa', 'substatValue': 1}",0.3,28,players,fraction,number
604785,8668,"{'name': 'Alex Iwobi', 'substatValue': 0}",0.3,29,players,fraction,number
1076756,10203,"{'name': 'Brennan Johnson', 'substatValue': 0}",0.3,30,players,fraction,number
113836,10204,"{'name': 'Danny Welbeck', 'substatValue': 0}",0.3,31,players,fraction,number
570434,10252,"{'name': 'Diego Carlos', 'substatValue': 0}",0.3,32,players,fraction,number
974753,8456,"{'name': 'Julián Álvarez', 'substatValue': 0}",0.3,33,players,fraction,number
1083796,9937,"{'name': 'Kevin Schade', 'substatValue': 0}",0.3,34,players,fraction,number
292462,8650,"{'name': 'Mohamed Salah', 'substatValue': 0}",0.3,35,players,fraction,number
417068,8456,"{'name': 'Nathan Aké', 'substatValue': 0}",0.3,36,players,fraction,number
1112684,8668,"{'name': 'Nathan Patterson', 'substatValue': 0}",0.3,37,players,fraction,number
540088,10252,"{'name': 'Ollie Watkins', 'substatValue': 0}",0.3,38,players,fraction,number
498532,8346,"{'name': 'Pelly-Ruddock Mpanzu', 'substatValue': 0}",0.3,39,players,fraction,number
815006,8456,"{'name': 'Phil Foden', 'substatValue': 0}",0.3,40,players,fraction,number
961995,9825,"{'name': 'Bukayo Saka', 'substatValue': 1}",0.2,41,players,fraction,number
860920,9825,"{'name': 'Edward Nketiah', 'substatValue': 1}",0.2,42,players,fraction,number
523825,8654,"{'name': 'Jarrod Bowen', 'substatValue': 1}",0.2,43,players,fraction,number
351860,9879,"{'name': 'Aleksandar Mitrovic', 'substatValue': 0}",0.2,44,players,fraction,number
672469,8455,"{'name': 'Ben Chilwell', 'substatValue': 0}",0.2,45,players,fraction,number
188058,10261,"{'name': 'Daniel Burn', 'substatValue': 0}",0.2,46,players,fraction,number
674014,8678,"{'name': 'David Brooks', 'substatValue': 0}",0.2,47,players,fraction,number
654096,9825,"{'name': 'Declan Rice', 'substatValue': 0}",0.2,48,players,fraction,number
787350,10252,"{'name': 'Douglas Luiz', 'substatValue': 0}",0.2,49,players,fraction,number
503659,9826,"{'name': 'Joachim Andersen', 'substatValue': 0}",0.2,50,players,fraction,number
766435,8654,"{'name': 'Lucas Paquetá', 'substatValue': 0}",0.2,51,players,fraction,number
654908,8586,"{'name': 'Richarlison', 'substatValue': 0}",0.2,52,players,fraction,number
1258092,8657,"{'name': 'William Osula', 'substatValue': 0}",0.2,53,players,fraction,number
246331,10203,"{'name': 'Willy Boly', 'substatValue': 0}",0.2,54,players,fraction,number
1185748,8668,"{'name': 'Amadou Onana', 'substatValue': 0}",0.1,55,players,fraction,number
793820,8657,"{'name': 'Anel Ahmedhodzic', 'substatValue': 0}",0.1,56,players,fraction,number
906937,10261,"{'name': 'Anthony Gordon', 'substatValue': 0}",0.1,57,players,fraction,number
933576,8678,"{'name': 'Antoine Semenyo', 'substatValue': 0}",0.1,58,players,fraction,number
511032,8657,"{'name': 'Ben Osborn', 'substatValue': 0}",0.1,59,players,fraction,number
850354,10261,"{'name': 'Bruno Guimaraes', 'substatValue': 0}",0.1,60,players,fraction,number
214426,8654,"{'name': 'Danny Ings', 'substatValue': 0}",0.1,61,players,fraction,number
643533,8586,"{'name': 'Davinson Sánchez', 'substatValue': 0}",0.1,62,players,fraction,number
570461,8650,"{'name': 'Diogo Jota', 'substatValue': 0}",0.1,63,players,fraction,number
1137705,8455,"{'name': 'Enzo Fernández', 'substatValue': 0}",0.1,64,players,fraction,number
494417,9879,"{'name': 'Harry Wilson', 'substatValue': 0}",0.1,65,players,fraction,number
212867,8586,"{'name': 'Heung-Min Son', 'substatValue': 0}",0.1,66,players,fraction,number
966026,8455,"{'name': 'Ian Maatsen', 'substatValue': 0}",0.1,67,players,fraction,number
179410,8668,"{'name': 'Idrissa Gana Gueye', 'substatValue': 0}",0.1,68,players,fraction,number
802245,8346,"{'name': 'Jacob Brown', 'substatValue': 0}",0.1,69,players,fraction,number
493165,8586,"{'name': 'James Maddison', 'substatValue': 0}",0.1,70,players,fraction,number
214570,9826,"{'name': 'Jeffrey Schlupp', 'substatValue': 0}",0.1,71,players,fraction,number
535936,10261,"{'name': 'Joelinton', 'substatValue': 0}",0.1,72,players,fraction,number
154280,9826,"{'name': 'Jordan Ayew', 'substatValue': 0}",0.1,73,players,fraction,number
749736,9825,"{'name': 'Kai Havertz', 'substatValue': 0}",0.1,74,players,fraction,number
1096400,8455,"{'name': 'Levi Colwill', 'substatValue': 0}",0.1,75,players,fraction,number
201690,10204,"{'name': 'Lewis Dunk', 'substatValue': 0}",0.1,76,players,fraction,number
1368318,8191,"{'name': 'Luca Koleosho', 'substatValue': 0}",0.1,77,players,fraction,number
881500,8191,"{'name': 'Lyle Foster', 'substatValue': 0}",0.1,78,players,fraction,number
785411,8678,"{'name': 'Marcos Senesi', 'substatValue': 0}",0.1,79,players,fraction,number
534670,9825,"{'name': 'Martin Ødegaard', 'substatValue': 0}",0.1,80,players,fraction,number
442277,10261,"{'name': 'Miguel Almiron', 'substatValue': 0}",0.1,81,players,fraction,number
888912,9937,"{'name': 'Mikkel Damsgaard', 'substatValue': 0}",0.1,82,players,fraction,number
789502,10203,"{'name': 'Morgan Gibbs-White', 'substatValue': 0}",0.1,83,players,fraction,number
683450,8654,"{'name': 'Pablo Fornals', 'substatValue': 0}",0.1,84,players,fraction,number
1107280,8586,"{'name': 'Pape Sarr', 'substatValue': 0}",0.1,85,players,fraction,number
688278,10204,"{'name': 'Pervis Estupinán', 'substatValue': 0}",0.1,86,players,fraction,number
532743,8678,"{'name': 'Philip Billing', 'substatValue': 0}",0.1,87,players,fraction,number
184536,10252,"{'name': 'Philippe Coutinho', 'substatValue': 0}",0.1,88,players,fraction,number
292313,9879,"{'name': 'Raul Jiménez', 'substatValue': 0}",0.1,89,players,fraction,number
491883,8654,"{'name': 'Said Benrahma', 'substatValue': 0}",0.1,90,players,fraction,number
956682,10261,"{'name': 'Sven Botman', 'substatValue': 0}",0.1,91,players,fraction,number
797908,8586,"{'name': 'Emerson Royal', 'substatValue': 1}",0.0,92,players,fraction,number
1002039,9937,"{'name': 'Aaron Hickey', 'substatValue': 0}",0.0,93,players,fraction,number
1069536,8191,"{'name': 'Anass Zaroury', 'substatValue': 0}",0.0,94,players,fraction,number
411617,8456,"{'name': 'Aymeric Laporte', 'substatValue': 0}",0.0,95,players,fraction,number
942549,10204,"{'name': 'Billy Gilmour', 'substatValue': 0}",0.0,96,players,fraction,number
816325,10252,"{'name': 'Boubacar Kamara', 'substatValue': 0}",0.0,97,players,fraction,number
951954,9826,"{'name': 'Cheick Oumar Doucouré', 'substatValue': 0}",0.0,98,players,fraction,number
148302,10203,"{'name': 'Cheikhou Kouyaté', 'substatValue': 0}",0.0,99,players,fraction,number
950561,8650,"{'name': 'Darwin Nunez', 'substatValue': 0}",0.0,100,players,fraction,number
935379,8586,"{'name': 'Dejan Kulusevski', 'substatValue': 0}",0.0,101,players,fraction,number
846005,8650,"{'name': 'Dominik Szoboszlai', 'substatValue': 0}",0.0,102,players,fraction,number
1099974,8346,"{'name': 'Issa Kaboré', 'substatValue': 0}",0.0,103,players,fraction,number
655575,8191,"{'name': 'Jacob Bruun Larsen', 'substatValue': 0}",0.0,104,players,fraction,number
243138,8668,"{'name': 'James Tarkowski', 'substatValue': 0}",0.0,105,players,fraction,number
974618,10204,"{'name': 'Jan Paul van Hecke', 'substatValue': 0}",0.0,106,players,fraction,number
466672,9826,"{'name': 'Jefferson Lerma', 'substatValue': 0}",0.0,107,players,fraction,number
613182,8678,"{'name': 'Joe Rothwell', 'substatValue': 0}",0.0,108,players,fraction,number
295062,8657,"{'name': 'John Egan', 'substatValue': 0}",0.0,109,players,fraction,number
862608,10204,"{'name': 'Kaoru Mitoma', 'substatValue': 0}",0.0,110,players,fraction,number
169200,8456,"{'name': 'Kevin De Bruyne', 'substatValue': 0}",0.0,111,players,fraction,number
469202,8678,"{'name': 'Kieffer Moore', 'substatValue': 0}",0.0,112,players,fraction,number
803343,9937,"{'name': 'Mads Roerslev', 'substatValue': 0}",0.0,113,players,fraction,number
469701,10204,"{'name': 'Mahmoud Dahoud', 'substatValue': 0}",0.0,114,players,fraction,number
844425,9826,"{'name': 'Marc Guehi', 'substatValue': 0}",0.0,115,players,fraction,number
541330,8346,"{'name': 'Marvelous Nakamba', 'substatValue': 0}",0.0,116,players,fraction,number
290410,8668,"{'name': 'Michael Keane', 'substatValue': 0}",0.0,117,players,fraction,number
1097466,8586,"{'name': 'Micky van de Ven', 'substatValue': 0}",0.0,118,players,fraction,number
682548,10203,"{'name': 'Ola Aina', 'substatValue': 0}",0.0,119,players,fraction,number
210971,8657,"{'name': 'Oliver Norwood', 'substatValue': 0}",0.0,120,players,fraction,number
807729,8455,"{'name': 'Reece James', 'substatValue': 0}",0.0,121,players,fraction,number
439369,8678,"{'name': 'Ryan Christie', 'substatValue': 0}",0.0,122,players,fraction,number
556972,9879,"{'name': 'Sasa Lukic', 'substatValue': 0}",0.0,123,players,fraction,number
664444,9825,"{'name': 'Takehiro Tomiyasu', 'substatValue': 0}",0.0,124,players,fraction,number
182962,9879,"{'name': 'Tom Cairney', 'substatValue': 0}",0.0,125,players,fraction,number
419664,10252,"{'name': 'Tyrone Mings', 'substatValue': 0}",0.0,126,players,fraction,number
209405,8650,"{'name': 'Virgil van Dijk', 'substatValue': 0}",0.0,127,players,fraction,number
688273,9937,"{'name': 'Vitaly Janelt', 'substatValue': 0}",0.0,128,players,fraction,number
724306,8586,"{'name': 'Yves Bissouma', 'substatValue': 0}",0.0,129,players,fraction,number
1067168,8191,"{'name': 'Zeki Amdouni', 'substatValue': 0}",0.0,130,players,fraction,number
